derived_series_key,derived_observed_on,input_series_key,input_observed_on,relation,weight
JP_REAL_5Y_INTERP,2026-07-31,JP_REAL_第26回,2026-07-30,interpolation_lower,0.6099840160
JP_REAL_5Y_INTERP,2026-07-31,JP_REAL_第27回,2026-07-30,interpolation_upper,0.3900159840
JP_REAL_7Y_INTERP,2026-07-31,JP_REAL_第28回,2026-07-30,interpolation_lower,0.6099840160
JP_REAL_7Y_INTERP,2026-07-31,JP_REAL_第29回,2026-07-30,interpolation_upper,0.3900159840
JP_REAL_10Y_PROXY,2026-07-31,JP_REAL_第31回,2026-07-30,proxy_input,1.0000000000
USJP_REAL_SPREAD_5Y,2026-07-31,US_REAL_5Y,2026-07-31,input,
USJP_REAL_SPREAD_5Y,2026-07-31,JP_REAL_5Y_INTERP,2026-07-31,input,
USJP_REAL_SPREAD_7Y,2026-07-31,US_REAL_7Y,2026-07-31,input,
USJP_REAL_SPREAD_7Y,2026-07-31,JP_REAL_7Y_INTERP,2026-07-31,input,
USJP_REAL_SPREAD_10Y,2026-07-31,US_REAL_10Y,2026-07-31,input,
USJP_REAL_SPREAD_10Y,2026-07-31,JP_REAL_10Y_PROXY,2026-07-31,input,
